title,latitude,longitude,street_address,zipcode,price,bed_info,bath_info,amenity_info
Hempstead Road Properties,40.4321,-79.9265,5625 Hempstead Street,15217,$1217 - $1986,1-2 Beds,1-2 Baths,0
Bedford Hill Apartments,40.4476,-79.9803,2129 Bedford Avenue,15219-3636,$1045,1-2 Beds,1-1.5 Baths,0
Forbes Terrace,40.4384,-79.9251,5703 Forbes Avenue,15217,0,3-4 Beds,1-2.5 Baths,0
University Commons.,40.4379,-79.9576,3811-3845 Dawson/382 S. Bouquet/1-3 Dimling Way,15213,$900,1-3 Beds,1-1.5 Baths,0
Fairfax Apartments,40.4469,-79.9481,4614 Fifth Avenue,15213,0,Studio-2 Beds,1-2 Baths,0
The Avalon Apartment Homes,40.4999,-80.0642,841 California Ave,15202,$1020 - $1675,Studio-2 Beds,1-2 Baths,0
Park West 205 Apartment Homes,40.4323,-80.1410,1000 Park W Pl,15205,$1400 - $2099,1-3 Beds,1-2 Baths,0
Christopher Wren Apartments And Townhomes,40.6323,-80.0664,501 Christopher Wren Dr,15090,$1395 - $3659,1-3 Beds,1-2.5 Baths,0
Club At North Hills Apartment Homes,40.5676,-80.0181,700 Duncan Ave,15237,$1205 - $1952,1-2 Beds,1-2 Baths,0
511 Pennwood Dr,40.4558,-79.8378,511 Pennwood Dr,15235,$955,2 Beds,1 Bath,0
Mountvue Apartments,40.4312,-80.0064,5 Grandview Avenue,15211,$1055 - $2419,Studio-2 Beds,1-2 Baths,0
Morgan At North Shore,40.4484,-79.9999,100 Anderson Str,15212,0,1-2 Beds,1-2 Baths,0
112 Bayard Street,40.2708,-79.8891,112 Bayard Street,15037,$625,1 Bed,1 Bath,0
201 Stanwix Street,40.4401,-80.0051,201 Stanwix Street,15222,0,1-2 Beds,1-2 Baths,0
Westpointe Apartment Homes,40.4511,-80.1523,2000 Westpointe Dr Apt 110,15205,$960 - $1696,1-3 Beds,1-2 Baths,0
Maiden Bridge & Canongate Apartment Homes,40.3641,-79.9983,100 White Hampton Ln,15236,$985 - $1952,Studio-3 Beds,0,0
Encore Apartments,40.4442,-80.0010,100 7Th Street,15222,$1900 - $4000,1-2 Beds,0,0
3638 LIBERTY AVE,40.4618,-79.9624,3638 LIBERTY AVE,15201,$795,2 Beds,0,0
The Penn Garrison Lofts,40.4440,-79.9978,915 Penn Avenue,15222,0,Studio-2 Beds,0,0
Torrente Apartment Homes,40.3226,-80.1136,2565 Boyce Plaza Road,15241,$1255 - $2268,1-2 Beds,0,0
4573 CHERRYLAND ST  PITTSBURGH PA 15214,40.5009,-80.0078,4573 CHERRYLAND ST,15214,0,4 Beds,0,0
Waterford Landing,40.5247,-80.2249,1200 Landing Ln,15108,$1052 - $1758,1-3 Beds,0,0
525 Farnsworth Avenue,40.2856,-79.8867,525 Farnsworth Avenue,15025,$725,2 Beds,0,0
Plaza Dr,40.3323,-79.9449,Plaza Dr,15236,$2500 - $3000,3 Beds,0,0
5911 Mcpherson Ave,40.3049,-80.0251,5911 Mcpherson Ave,15102,$1550,3 Beds,0,0
Fairfield Apartments,40.4618,-79.9216,6201 Broad Street,15206-4001,$851 - $1350,1-2 Beds,0,0
The Docks Apartments And Townhomes,40.4865,-79.8741,501 Riverfront Dr,15238,$1525 - $4440,1-3 Beds,0,0
The Waterfront Apartments And Townhomes,40.4143,-79.9053,611 East Waterfront Dr,15120,$1420 - $3705,1-3 Beds,0,0
314 FLEET ST.,40.4211,-80.0483,314 FLEET ST.,15104,$950,2 Beds,0,0
Kenmawr Apartments,40.4553,-79.9214,401 Shady Avenue,15206,0,1-4 Beds,0,0
Nineteen North Apartments & Townhomes,40.5672,-80.0398,1050 Nineteen North Dr,15237,$1030 - $1581,1-3 Beds,0,0
Legacy Apartments,40.4449,-79.9784,2121 Centre Avenue,15219-6372,0,1-2 Beds,0,0
118 EARLWOOD ROAD,40.4756,-79.8308,118 EARLWOOD ROAD,15235,0,Studio,0,0
Locomotive Lofts,40.4778,-79.9583,4840 Harrison Street,15201,0,1-2 Beds,0,0
4000 OUTLOOK DR,40.3924,-79.8723,4000 OUTLOOK DR,15122,$1200,2 Beds,0,0
Governors Ridge Apartments &amp;amp; Townhomes,40.5164,-80.0027,112 Hilands Pl,15237,$1042 - $1722,2-3 Beds,0,0
Midtown Towers,40.4426,-80.0002,643 Liberty Avenue,15222,0,1 Bed,0,0
Bakery Living Blue.,40.4558,-79.9169,6454 Living Place,15206,$2565 - $2895,Studio-2 Beds,0,0
Lebanon Holdings  L.L.C.,40.3817,-80.0444,640 Washington Rd,15228,$905,Studio-1 Bed,0,0
Honus Wagner Apartments,40.4053,-80.0882,1 Third Ave.,15106,0,1 Bed,0,0
Crawford Square Apartments,40.4421,-79.9852,510 Protectory Place,15219-4338,$1358 - $1641,1-3 Beds,0,0
Shady Drive East Partners,40.3785,-80.0410,773 Shady Drive East,15228,$1185,1-2 Beds,0,0
714 Shady Drive East,40.3798,-80.0428,714 Shady Drive East,15228,0,2 Beds,0,0
Forest Green Commons,40.4694,-80.0654,120 Pillar Drive,15108,$712 - $979,1-4 Beds,0,0
Forbes Terrace Property.,40.4384,-79.9251,5707 Forbes Avenue,15127,0,3-4 Beds,0,0
The Penn At Walnut On Highland.,40.4607,-79.9248,111 S. Highland Ave,15206,$1688 - $3033,Studio-2 Beds,0,0
Shady Drive East Partners,40.3786,-80.0411,769 Shady Drive East,15228,$1200,1-2 Beds,0,0
Lebanon Holdings  L.L.C.,40.3818,-80.0445,634 Washington Road,15228,0,Studio-2 Beds,0,0
Fox Chapel Arms,40.4932,-79.8630,265 Freeport Road,15238,$625 - $1000,Studio-2 Beds,0,0
Lofts Of Mount Washington,40.4279,-80.0101,200 Cowan Street,15211,$1750 - $2150,Studio-3 Beds,0,0
Moorhead Tower Apartments,40.4537,-79.9538,375 North Craig Street,15213,0,1-2 Beds,0,0
Homestead Masonic Hall Lofts,40.4078,-79.9069,338 East 9Th Avenue,15120,$1250,Studio-1 Bed,0,0
University Loft Apartments.,40.4379,-79.9576,3817 Dawson Street,15213,$1200 - $1500,1-3 Beds,0,0
The Tuscany Apartments,40.3876,-80.0435,300 Washington Road,15216,$800 - $915,Studio-1 Bed,0,0
The Clark Building,40.4428,-79.9994,717 Liberty Avenue,15222,0,1-2 Beds,0,0
Helm On The Allegheny,40.4538,-79.9836,2239 Railroad St,15222,$1010 - $3280,Studio-2 Beds,0,0
Spinning Plate Apartments,40.4597,-79.9299,5720 Friendship Avenue,15206,0,Studio-3 Beds,0,0
Bridgeville Towers,40.3574,-80.1119,479 Bank Street Ext.,15017,0,1 Bed,0,0
Annhurst,40.3273,-79.9375,535 N. Lewis Run #909,15025,$800,Studio-2 Beds,0,0
BaumHaus,40.4575,-79.9362,5522 Baum Boulevard,15232,$2025 - $2550,Studio-176 Beds,0,0
The Reserve At Summerset,40.4561,-80.0151,1300 Brighton Road  2Nd Floor,15233,$1200 - $2695,1-3 Beds,0,0
1155  BUENTE ST.,40.4663,-79.9938,1155  BUENTE ST.,15212,$900,Studio,0,0
Green Valley Flats,40.3692,-79.8306,510 E.Pittsburgh-Mckeesport Blvd,15137,$690,1-2 Beds,0,0
328 E. 9th Ave,40.6045,-79.7536,328 E. 9Th Ave,15084,$700,Studio-2 Beds,0,0
Oak Hill Apartments,40.3894,-79.8248,500 Irishtown Road,15137,0,1-2 Beds,0,0
Cornerstone Village,40.4633,-79.9179,185 Larimer Avenue,15206,0,1-4 Beds,0,0
1769 Crafton Blvd.,40.4299,-80.0640,1769 Crafton Blvd.,15205,$850,2 Beds,0,0
Highland Manor Apartments,40.4068,-79.8348,201 Dorothy St,15112,$750,1-3 Beds,0,0
4620 BAUM BLVD.,40.4539,-79.9523,4620 BAUM BLVD.,15213,$667,1 Bed,0,0
Della Plaza,40.3879,-79.8268,500 Della Drive,15137,$645 - $665,Studio,0,0
Frick Park Village,40.4415,-79.8928,265 Kelly Avenue,15221,$840,1-2 Beds,0,0
1700 Morningside Avenue,40.4853,-79.9283,1700 Morningside Avenue,15206,$850,Studio,0,0
840 County Lane,40.6213,-80.0313,840 County Lane,15090,$1450,Studio-5 Beds,0,0
Hillcrest Residences,40.3818,-79.9771,2948 Brownsville Road,15227,0,1-2 Beds,0,0
Renzie Park Apartments,40.3451,-79.8465,Sylvester Way & Palm St.,15132,0,1-2 Beds,0,0
Mount Vernon Apartments,40.2914,-79.8259,2301 Surrey Lane,15135,$700 - $805,1-3 Beds,0,0
3030 South Water,40.4257,-79.9606,3030 South Water Street,15203,$1450,1 Bed,0,0
601 Hill Avenue,40.4465,-79.8843,601 Hill Avenue,15221,$900,2-3 Beds,0,0
407 Moon Run Avenue,40.4518,-80.1133,407 Moon Run Avenue,15205,$2000,3 Beds,0,0
Quality Court Apartments,40.3889,-79.8261,600 Della Drive,15137,0,1-2 Beds,0,0
Settlers Place Apartments,40.4408,-80.2147,1600 Settlers Dr,15071,$950,1-2 Beds,0,0
305 Olivia Street,40.4744,-80.0570,305 Olivia Street,15136,$695,2 Beds,0,0
Foster Road Apartments,40.3613,-79.8117,100 Heckman Rd,15137,0,1-3 Beds,0,0
544 Bessemer Avenue,40.3949,-79.8397,544 Bessemer Avenue,15112,$600,Studio-1 Bed,0,0
Lincoln School Apartments,40.3453,-79.8140,1735 Ohio Ave.,15131,0,2-3 Beds,0,0
Kelly Street Townhouses,40.3376,-79.8092,Ohio  Kansas & Kelly Aves.,15131,0,3 Beds,0,0
103 Hemingway Lane,40.5085,-79.8957,103 Hemingway Lane,15108,$2500,4 Beds,0,0
Forest Apartments,40.4249,-79.8747,1003 Smokey Wood Dr,15218,$900,1-2 Beds,0,0
Versailles Castle Apartments,40.3934,-79.8190,1806 Greensburg Ave,15137,$600 - $695,1-3 Beds,0,0
White Oak Farms,40.3234,-79.7988,502 Riverview Drive,15131,0,1-2 Beds,0,0
Valley Park Townhomes,40.4096,-79.8232,153 Valley Park Drive,15145,0,3 Beds,0,0
Jameson/Sunview,40.3743,-79.9780,Brentwood,15227,$825 - $850,2-3 Beds,0,0
7007 MCCLURE AVE.,40.4203,-79.8976,7007 MCCLURE AVE.,15218,$825,Studio,0,0
618 Versailles Avenue,40.3469,-79.8588,618 Versailles Avenue,15132,$625,1-2 Beds,0,0
Kelly Hamilton Homes,40.4555,-79.9001,7049 Hamilton Avenue,15208,0,1-3 Beds,0,0
Hawthorne Apartments,40.3860,-79.8184,1650 Rosedale Street,15137,0,1 Bed,0,0
Jody Apartments,40.4015,-79.8349,200 Electric Ave.,15112,$590,1-2 Beds,0,0
2255 McKees Rocks Road,40.4519,-80.1144,2255 Mckees Rocks Road,15136,$1150,2-3 Beds,0,0
Roberta Gardens Apartments,40.4423,-79.8940,201 Rebecca Avenue,15221,0,Studio-2 Beds,0,0
201 South Fairmont,40.4345,-79.9297,Duplex Unit,15206,$1650,3-6 Beds,0,0
Heritage Park Apartments,40.3539,-79.8151,1800 Delaware Ave,15131,0,1-2 Beds,0,0
Shady Drive East Partners,40.3780,-80.0406,783 Shady Drive East,15228,0,Studio-2 Beds,0,0
White Oak Village Apartments,40.3324,-79.8157,152 Royal Oak Drive,15131,$715 - $975,1-2 Beds,0,0
Center Grove Apartments,40.3199,-79.8234,913 Center Street,15132,0,1-3 Beds,0,0
Hep Park Village,40.4124,-79.8254,342 Kenyon Street,15145,$795,1-2 Beds,0,0
East Pittsburgh Mall,40.4005,-79.8353,801 E. Pittsburgh Mall,15112,$550 - $625,1-2 Beds,0,0
837 BENWOOD AVENUE,40.4755,-80.0749,837 BENWOOD AVENUE,15136,$650,Studio,0,0
Pennley Commons,40.4638,-79.9295,5601 Penn Avenue,15206,0,1 Bed,0,0
Meyers Ridge Townhomes,40.4693,-80.0654,901 Gray Street,15136,0,1-5 Beds,0,0
Rolling Woods,40.3811,-79.8337,107 Rolling Woods Drive,15137,0,2-3 Beds,0,0
Skyline Terrace,40.4438,-79.9768,385 Elmore St,15219,$868 - $1400,2-3 Beds,0,0
East Liberty Place,40.4624,-79.9268,115 N. Beatty Street,15206,0,1-2 Beds,0,0
Meyers Ridge I,40.4694,-80.0654,901 Gray Street,15136,0,2-5 Beds,0,0
New Pennley Place,40.4638,-79.9295,5601 Penn Avenue,15206,0,1-2 Beds,0,0
