restaurantId,name,type,slotDiscovery,urls,priceBand,neighborhood,primaryCuisine,campaignId,isPromoted,restaurantAvailabilityToken,isPinned,diningStyle,address,description,hasTakeout,recentReservationCount,textReviewCount,rating,hasBar,hasCounter,hasHighTop,hasOutdoor,pickupEnabled,groupId,latitude,longitude,phoneNumber,deliveryPartner,menuUrl
6994,Nonna,GuestCenter,on,https://www.opentable.com/r/nonna-san-diego,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1735 India Street, San Diego, CA, 92101","Many restaurants in Little Italy have become destinations, among them the Busalacchi family's Nonna. The rustic décor features a relaxed country-style feel throughout the restaurant, including the delightful patio. The wonderfully welcoming atmosphere celebrates yet another delicious Sicilian food lineup, including pizzas and all that you would expect from an authentic Italian menu. The terrific entrées show the Sicilian influence, and fill the restaurant with great aromas.\u003cbr />\u003cbr />We would love to hear your feedback on your experience.  ",true,null,483,rating:4.6,false,false,false,false,null,84,32.723246,-117.168317,(619) 234-1735,,
993256,Pali Wine Co. Little Italy Tasting Room,GuestCenter,on,https://www.opentable.com/r/pali-wine-co-little-italy-tasting-room-san-diego,$30 and under,Little Italy,Wine Bar,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2130 India St, San Diego, CA, 92101","Our San Diego tasting room is located near the heart of Little Italy and is the perfect spot to enjoy our award winning wines in San Diego! Stop in to taste our Pinot Noir and Chardonnay from the Central Coast and stick around for some Cali-Tapas. This location also showcases our second and third wine labels. Tower 15, which offers premium Bordeaux and  Rhone blends alongside other varietals grown in the Central Coast region. Neighborhood Winery, specializing in interesting blends – both daring and traditional – that often push the boundaries of conventional wine flavor profiles. Our upstairs balcony overlooking Little Italy and our extremely inviting new backyard patio are both pet friendly spaces.  We offer a very unique, full service wine and food experience.",true,13,56,rating:4.9,true,false,false,true,null,7643,32.726773,-117.169836,(619) 569-1300,,
1050319,Zinqué - San Diego,GuestCenter,on,https://www.opentable.com/r/zinque-san-diego,$31 to $50,Little Italy,French,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2101 Kettner Blvd, San Diego, CA, 92101","Hip neighborhood restaurant with French-inspired dishes and small plates. Craft cocktail menu and uniquely curated wine and beer selection. High-design/low-key vibe for breakfast, lunch, drinks or dinner.\u003cbr />(zin-kae)",true,28,197,rating:4.2,true,false,false,false,null,892,32.726543,-117.170108,(619) 915-6172,UBER_EATS,https://ubertrk.com/c/2606859/811249/5714?prodsku=e8433bbc-9152-4d99-936d-73f655ad87d0&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fzinque-zin-kae-kettner-blvd%2F6EM7vJFSTZmTbXP2Va2H0A%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854
333262,STK- San Diego,GuestCenter,on,https://www.opentable.com/r/stk-san-diego,$31 to $50,Downtown / Gaslamp,Steakhouse,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Elegant,"600 F St, San Diego, CA, 92101-6310","STK San Diego artfully blends two concepts into one—the modern steakhouse and a chic lounge. A large central lounge area is furnished with creamy leather banquettes, and is surrounded by an elevated dining room for more formal dining. Theatrical lights illuminate each table, large windows  allow patrons to catch a glimpse of the bustling Gaslamp Quarter, while a DJ creates an energetic vibe throughout the entire space. STK San Diego is located in the heart of Gaslamp Quarter at the Andaz San Deigo. As anticipated, steak is the main attraction. STK San Diego offers small, medium and large cuts of meat, as well as naturally raised options and market fresh fish entrees. Aside from steak, signature items include Parmesan Truffle Fries; Lil’ BRGs; Tuna Tartar; and Sweet Corn Pudding.",true,127,1443,rating:4.4,false,false,false,true,null,141,32.713877,-117.158793,(619) 354-5988,POSTMATES,https://postmates.onelink.me/5uYG?pid=opentable&c=opentable&af_dp=postmates%3A%2F%2Fv1%2Fplaces%2F707aba14-84e4-45ee-a683-9260490377c9&af_web_dp=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fstk-san-diego-san-diego&af_android_url=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fstk-san-diego-san-diego&af_ios_url=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fstk-san-diego-san-diego
265033,Ristorante Illando,GuestCenter,on,https://www.opentable.com/r/ristorante-illando-san-diego,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1825 India Street, San Diego, CA, 92101","From the owner Leonardo Landini \u003cbr />&#34;When I decided to open Ristorante Illando, I had a vision in my head...my cozy house back in Firenze, Italy; my family dining table filled with the food I grew up with. Now I can surround you with the warmth of my Italian home and an authentic Italian meal here at Illando. Benvenuti e buon appetito a tutti!!&#34;\u003cbr />\u003cbr />\u003cbr />Located just above Little Italy San Diego's popular pizza shop, Landini's Pizzeria.\u003cbr />\u003cbr />\u003cbr />\u003cbr />We have a 15 minute grace period. Please call if you are running later than 15 minutes after your reservation time. The whole party must be present before all can be seated. \u003cbr />\u003cbr />A credit card is required to guarantee reservations of 10 or more. Please call hostess.\u003cbr />\u003cbr />\u003cbr />Thank you for your love and support! \u003cbr />",true,17,350,rating:4.5,false,false,false,true,null,,32.724053,-117.168256,(619) 693-5204,UBER_EATS,https://ubertrk.com/c/2606859/811249/5714?prodsku=d7529191-c572-4414-abf9-d87e0ffb51c4&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fristorante-illando%2F11KRkcVyRBSr-dh-D_tRxA%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854
1014955,Farmer's Table - Little Italy,GuestCenter,on,https://www.opentable.com/r/farmers-table-little-italy-san-diego,$30 and under,Little Italy,Farm-to-table,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"550 W. Date St, San Diego, CA, 92101","Excited to announce that we officially have four locations open in San Diego including Bay Park, Little Italy, La Mesa, and Chula Vista. As a family run operation we believe every good neighborhood deserves an eatery where locals and visitors can enjoy “honest food done right”. Here at Farmers Table, we specialize in farm-to-fork cuisine that focuses on bringing locally sourced organic ingredients together to be savored in an inviting family-friendly atmosphere, where adults and children can enjoy many different food options that are just right for them. If you are looking for a magical brunch this week, come stop by for an unforgettable night.",true,23,607,rating:4.3,false,false,false,true,null,4761,32.723199,-117.168023,(619) 255-0958,,
276874,Mimmo's Italian Village,GuestCenter,on,https://www.opentable.com/r/mimmos-italian-village-san-diego,$31 to $50,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Elegant,"1743 India St, null, San Diego, CA, 92101-2517","Mimmos Italian Village is one of the 3 original restaurants  left in San Diego's historic Little Italy district. Established in 1973 in the heart of Little Italy you will find Mimmos is 3rd generation family owned and operated . \u003cbr />\u003cbr />Enjoy our amazing food all homemade from scratch daily, using quality  ingredients and fresh local produce . \u003cbr />\u003cbr />Our popular dishes include, campanelle sausage, spicy shrimp linguine, and chicken parmesan. You can enjoy these dishes alongside a nice glass of wine or signature homemade sangria.\u003cbr />\u003cbr /> Mimmo's Italian Village was started by Vincenzo Mimmo Gaglio, originally from Montelepre, Sicily. Before arriving in San Diego, Gaglio sharpened his cooking skills in Tunisia, New York City, Ontario, California, and finally, San Diego.\u003cbr />\u003cbr />Mimmo's seating areas consist of a charming indoor village, alfresco front and back patio seating. ",true,10,238,rating:4.6,false,false,false,true,null,,32.723324,-117.168159,(619) 239-3710,,
1080466,Brigantine at Portside Pier,GuestCenter,on,https://www.opentable.com/r/brigantine-at-portside-pier-san-diego,$31 to $50,Downtown / Gaslamp,Seafood,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1360 N Harbor Dr, San Diego, CA, 92101-3322","The Brigantine is more than just home to some of San Diego’s finest seafood. It’s a place where locals and visitors alike come to share a lively atmosphere and authentic sense of community. The Morton family opened the first Brigantine on Shelter Island in 1969, with a vision that embraced the beach town lifestyle, a dedication to flavorful food, and a passion for friendly service.\r\n\r\nToday, we’re known far and wide for our San Diego-style surf and turf. From our award-winning fish tacos and freshly shucked oysters, to classic filet mignon or our perpetually best-selling marinated grilled swordfish. Always prepared to exceed expectations, and served with a smile. You can stop in at any neighborhood Brigantine and get a taste of the local flavor, from regionally inspired specials, to custom cocktails and home town craft beers.\r\n\r\nAt the Brigantine we make first timers feel like regulars, and consider regulars part of the family. So come by often, and share our taste for life.",false,90,1528,rating:4.6,true,false,false,true,null,59,32.719625,-117.173597,(619) 719-4960,,
1158412,Allegro,GuestCenter,on,https://www.opentable.com/r/allegro-san-diego,$31 to $50,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Elegant,"1536 India St, San Diego, CA, 92101-2405","Sicilian born Executive Chef Marco Provino, is a master in the kitchen, constantly shocking us with his latest creations. Our see through glass allows patrons to have a full view of the kitchen to ensure no shortcuts are ever taken.  As the sexiest restaurant in Little Italy, we offer an exquisite yet youthful ambience including a beautiful lemon garden patio covered in velvet, gold, marble, ceramic tiles, and couture fire pits that make Allegro perfect for a special occasion with your significant other. As part of the San Diego Dining Group, we take every step to uphold sky-high standards and quality to ensure the most magical dining experience. Join us for happy hour Sunday to Thursday 4pm-6pm. $5 draft beer and fresh oysters. ",true,70,330,rating:4.1,false,false,true,true,null,912,32.721678,-117.168597,(619) 310-6996,,
285481,Petrini's,GuestCenter,on,https://www.opentable.com/r/petrinis-san-diego,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"610 W Ash St, San Diego, CA, 92101","Petrini's, in the heart of San Diego's Little Italy neighborhood, serves homemade Italian dishes with a traditional aesthetic in its charming and inviting restaurant. The diablo shrimp in spicy wing sauce with lemon and cream, served with garlic cheese bread makes the perfect starter to your meal. Some of Petrini's' specialty entrée dishes include the smoked salmon alfredo sautéed with tomatoes and basil, Petrini's flat iron steak marinated in Italian beer, garlic and rosemary served with spaghetti with tangy pomodoro sauce and the baked white fish tilapia coated in seasoned bread crumbs in wine, butter and garlic sauce with Tuscan vegetables. Handhelds, such as the classic meatball hoagie, the vegetarian caponata sandwich with tomato-stewed eggplant and the craft-your-own pizzas, are other diner favorites.\u003cbr />\u003cbr />For a sweet end to your meal at Petrini's, enjoy a homemade classic Italian dessert, the layered tiramisu cake.\u003cbr />",true,23,197,rating:4.3,false,false,false,true,null,,32.720234,-117.168567,(619) 595-0322,UBER_EATS,https://ubertrk.com/c/2606859/811249/5714?prodsku=3769ec26-c1fc-43e4-aae1-93ac7cf3ad14&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fpetrinis%2FN2nsJsH8Q-Sq4ZOsfPOtFA%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854
151924,Isola Little Italy,GuestCenter,on,https://www.opentable.com/r/isola-little-italy-san-diego,$30 and under,Little Italy,Italian,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1526 India Street, San Diego, CA, 92101","MY NONNA’S NAME WAS ISOLA, A WONDERFUL COOK WHO GAVE ME A PASSION FOR FOOD AND FRESH, SIMPLE INGREDIENTS.  \u003cbr />\u003cbr />I have vivid memories of my grandmother turning plain bread into amazing desserts, simple apples into incredible fritters sprinkled with a little sugar and honey, and even treating my sunburns with olive oil. Thirty years later, I still savor every meal and moment.\u003cbr />\u003cbr />Isola is proud to serve the finest local ingredients, dalla vite, from the vine. I hope you enjoy every bite, plucked from my family tree for your table. Buon appetito!",true,24,492,rating:4.5,false,false,false,true,null,769,32.72121,-117.168536,(619) 555-4230,POSTMATES,https://postmates.onelink.me/5uYG?pid=opentable&c=opentable&af_dp=postmates%3A%2F%2Fv1%2Fplaces%2F157f5fec-a085-495a-87ee-81e6967adb1a&af_web_dp=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fisola-pizza-san-diego&af_android_url=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fisola-pizza-san-diego&af_ios_url=https%3A%2F%2Fpostmates.com%2Fmerchant%2Fisola-pizza-san-diego
1027714,Del Frisco’s Double Eagle Steakhouse - San Diego,GuestCenter,on,https://www.opentable.com/r/del-friscos-double-eagle-steakhouse-san-diego,$30 and under,Downtown / Gaslamp,Steakhouse,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Fine Dining,"901 Bayfront Court, Suite 105, San Diego, CA, 92101","Del Frisco’s Double Eagle Steakhouse embodies the rich tradition of the classic American steakhouse, serving USDA Prime Beef, fresh seafood and premium wines from our award-winning wine selection in a breathtaking atmosphere.",true,87,1308,rating:4.4,true,false,false,true,null,48,32.71652,-117.17169,(619) 272-5060,POSTMATES,https://postmates.onelink.me/5uYG?pid=opentable&c=opentable&af_dp=postmates%3A%2F%2Fv1%2Fplaces%2F3d24610f-0087-49e1-b984-1975b6a1d63d&af_web_dp=https%3A%2F%2Fpostmates.com%2Fstore%2Fdel-friscos-double-901-bayfront-ct-suite-105%2Fwug3jegGRbWckgFpwJ5f7g?pid=opentable&c=opentable
264028,Parc Bistro-Brasserie,GuestCenter,on,https://www.opentable.com/r/parc-bistro-brasserie-san-diego,$30 and under,Banker's Hill,French,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"2760 5th Ave, Suite 100, San Diego, CA, 92103",Listed as one of OpenTable’s “100 Best Neighborhood Gems in America for 2021”,true,75,1527,rating:4.8,false,false,false,true,null,,32.734183,-117.160494,(619) 795-1501,,
988276,Topside Terrace,GuestCenter,on,https://www.opentable.com/r/topside-san-diego,$30 and under,Downtown / Gaslamp,Contemporary American,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Elegant,"421 W B St, San Diego, CA, 92101","\u003cbr />A quintessential San Diego open-air terrace, Topside Terrace takes advantage of the San Diego climate while marrying the sites and sounds of downtown. Inspired by coastal living, we specialize in evening fare and weekend brunch serving Baja California and Classic American Fare paired with contemporary cocktails and draft beer.\u003cbr />\u003cbr />Happy hour every Sunday-Thursday from 4pm to 6pm!\u003cbr />\u003cbr />Live DJ every Saturday 6pm-10pm",true,31,221,rating:4.5,true,false,true,false,true,7811,32.717526,-117.166926,(619) 398-3100,,
116821,Eddie V's - Seaport District,GuestCenter,on,https://www.opentable.com/eddie-vs-seaport-district,$31 to $50,Downtown / Gaslamp,Seafood,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Fine Dining,"789 West Harbor Drive, San Diego, CA, 92101","OUR PATIO IS OPEN. CURBSIDE PICKUP AVAILABLE – Our patio is open, but we are delighted to still offer takeout. Visit EddieV.com/takeout or call (619) 615-0281 to place an order.\u003cbr />\u003cbr />If you're looking for a stylish and sophisticated fine dining experience, join us at Eddie V’s in San Diego. Dishes are artistically prepared and feature an ever-changing array of seasonal seafood, along with critically acclaimed prime steaks, hand-carved and broiled to perfection. Our restaurant’s award-wining wine list, which has been recognized by Wine Spectator, has more than 300 wines from the best growing areas in California and around the world. \u003cbr />\u003cbr />Polite Dress Notice - To promote a family friendly and welcoming atmosphere for everyone. We consider gym attire, sweatpants, hats, clothing with offensive languages or images, and exposed undergarments too casual for our restaurants.",true,84,2647,rating:4.8,true,false,true,true,null,639,32.711308,-117.169175,(619) 615-0281,,
4855,Island Prime,GuestCenter,on,https://www.opentable.com/island-prime,$30 and under,Downtown / Gaslamp,Steakhouse,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Fine Dining,"880 Harbor Island Drive, San Diego, CA, 92101","Resting on stilts atop San Diego Bay, Island Prime overlooks the city skyline and Coronado.",false,48,6132,rating:4.8,true,false,false,false,null,8,32.724117,-117.18867,(619) 298-6802,,
1039660,Claim Jumper - San Diego - Bayside,GuestCenter,on,https://www.opentable.com/r/claim-jumper-san-diego-bayside-san-diego,$30 and under,Little Italy,American,null,false,eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ,false,Casual Dining,"1355 North Harbor Drive, San Diego, CA, 92101","Our friendly environment is ideal for celebrating special occasions, hosting a business lunch or gathering for a delicious meal with friends and family. Our saloons are a comfortable gathering place to relax after a day at work, to catch a game or share an appetizer with friends. The saloon menu features signature cocktails, chilled martinis, premium and ultra-premium spirits, specialty non-alcoholic beverages, an extensive wine list, and imported and American craft beers including Claim Jumper’s own Honey Blonde, Original Red Ale and IPA.  In addition to the saloon menu Claim Jumper offers a Steakhouse menu which includes USDA Prime steaks and premium house made shareable sides. Open daily for lunch and dinner, Claim Jumper offers a selection of freshly prepared items using only the finest ingredients available. Favorites include Certified Angus Beef®, fresh fish, baby back pork ribs, fresh baked pot pie, specialty salads, pasta, sandwiches, burgers and more. ",true,25,245,rating:3.9,true,false,false,true,null,1486,32.719544,-117.172199,(619) 531-7994,UBER_EATS,https://ubertrk.com/c/2606859/811249/5714?prodsku=cdc70191-4cdb-42c7-a456-96f7a18bca13&u=https%3A%2F%2Fwww.ubereats.com%2Fsan-diego%2Ffood-delivery%2Fclaim-jumper-1355-north-harbor-drive%2FzccBkUzbQsekVpb3oYvKEw%2F%3Futm_campaign%3Daffiliate-ir-%7Birmpname%7D_1_-99_national_e_all_acq_cpa_en_click-%7Bclickid%7D&intsrc=CATF_5854
